"cz90","region","state_fips","population","val","periodf","genx_noncoll","blackpop_pct","l_sh_popfborn","incRate_corrected_estimated_25_ln","D.emptopopc","otch"
12001,"2","26",106230,0.268948504632921,"first",18.6371581701248,2.19523675044714,2.0665665,6.38087816791619,-1.2667424521021,0.41288335
12001,"2","26",118446,0.0176147794396778,"second.alt",11.8140051076909,2.4770781622005,2.3454027,6.59603697162253,3.66276909090909,1.73074125
12002,"2","26",47489,0.555787126312385,"first",18.2772273463079,0.429573164311735,2.071399,6.35879569352683,-1.704467078813,0.371671875
12002,"2","26",52312,-0.16789604744724,"second.alt",10.9359056590649,1.28460009175715,2.8388734,6.80342539457674,3.96822,2.2530055
1201,"3","37",35912,0.32480866283577,"first",19.0899138536545,1.24470928937403,2.0392992,5.53327690641267,1.0605991802146,1.0216532625
1201,"3","37",44050,0.723470118342361,"second.alt",12.0333734732496,1.05561861520999,3.6186199,5.79312383668128,3.80982181818182,2.45358766666667
1202,"3","37",46379,-0.562670872302691,"first",18.0578102453102,1.44461933202527,1.4033788,6.48200941782161,-0.819546197422696,2.379672125
1202,"3","37",53148,0.116530006955901,"second.alt",10.8202344604018,1.46383683299466,2.6118393,6.03187271997946,3.37626818181818,5.3692285
1203,"3","37",340928,0.266302696621471,"first",17.4405363800443,5.59003660596959,2.3325715,6.10435898039746,-0.511182627025001,0.4959358625
1203,"3","37",394319,0.340780416434981,"second.alt",11.1114793214586,5.29698036361423,5.5508566,6.31740113769464,2.79687545454545,1.74683316666667
1204,"3","37",46905,0.277145211060608,"first",19.3234137485705,0.935934335358704,2.1807075,6.11342446569749,1.4193947278677,2.498611125
1204,"3","37",58598,0.506339654101403,"second.alt",12.4375514322226,0.914706986586573,3.9522178,6.33514063454597,3.95637272727273,4.94922958333333
12100,"2","26",483649,0.254110737456951,"first",18.3248937813002,8.3428271329001,2.9459248,6.76673803812894,-1.809175782917,0.21496415
12100,"2","26",507819,-0.135634422585354,"second.alt",11.2813713568129,8.96362680403845,4.1744733,6.97002662809451,4.83083,0.84883225
12200,"2","26",1136861,0.310058939853945,"first",20.2198644859672,6.60608464887088,3.3664405,6.6212010330374,-1.4197786150924,0.4459383
12200,"2","26",1273644,-0.075861216524921,"second.alt",12.5160034182455,7.07316958270914,6.2096348,6.86924818492056,4.40946363636364,1.497451
12301,"2","26",127600,0.297284185386476,"first",18.276862074788,0.293887147335423,1.6620157,6.28800137497071,-2.7212160380999,0.456152675
